time,voltage,current,power,pwm,running,stop_reason
33.004,1.330,0.000,0.000,0,0,1
33.107,1.329,0.000,0.000,0,0,1
33.212,1.331,0.000,0.000,0,0,1
33.316,1.329,0.000,0.000,0,0,1
33.420,1.330,0.000,0.000,0,0,1
33.524,1.331,0.000,0.000,0,0,1
33.628,1.327,0.000,0.000,0,0,1
33.732,1.330,0.000,0.000,0,0,1
33.836,1.332,0.000,0.000,0,0,1
33.941,1.330,0.000,0.000,0,0,1
34.044,1.280,0.000,0.000,0,0,1
34.149,1.264,0.000,0.000,0,0,1
34.253,1.243,0.000,0.000,0,0,1
34.357,1.248,0.000,0.000,0,0,1
34.461,1.260,0.000,0.000,0,0,1
34.565,1.196,0.000,0.000,0,0,1
34.669,1.234,0.000,0.000,0,0,1
34.773,1.244,0.000,0.000,0,0,1
34.878,1.247,0.000,0.000,0,0,1
34.982,1.254,0.000,0.000,0,0,1
35.086,1.298,0.000,0.000,0,0,1
35.190,1.276,0.000,0.000,0,0,1
35.295,1.309,0.000,0.000,0,0,1
35.398,1.323,0.000,0.000,0,0,1
35.502,1.332,0.000,0.000,0,0,1
35.607,1.336,0.000,0.000,0,0,1
35.710,1.340,0.000,0.000,0,0,1
35.815,1.342,0.000,0.000,0,0,1
35.919,1.343,0.000,0.000,0,0,1
36.023,1.343,0.000,0.000,0,0,1
36.127,1.344,0.000,0.000,0,0,1
36.231,1.344,0.000,0.000,0,0,1
36.336,1.345,0.000,0.000,0,0,1
36.439,1.345,0.000,0.000,0,0,1
36.544,1.345,0.000,0.000,0,0,1
36.648,1.343,0.000,0.000,0,0,1
36.752,1.345,0.000,0.000,0,0,1
36.856,1.347,0.000,0.000,0,0,1
36.961,1.346,0.000,0.000,0,0,1
37.064,1.348,0.000,0.000,0,0,1
37.168,1.345,0.000,0.000,0,0,1
37.273,1.346,0.000,0.000,0,0,1
37.376,1.347,0.000,0.000,0,0,1
37.481,1.346,0.000,0.000,0,0,1
37.585,1.346,0.000,0.000,0,0,1
37.690,1.346,0.000,0.000,0,0,1
37.793,1.347,0.000,0.000,0,0,1
37.898,1.349,0.000,0.000,0,0,1
38.002,1.349,0.000,0.000,0,0,1
38.105,1.346,0.000,0.000,0,0,1
38.210,1.347,0.000,0.000,0,0,1
38.314,1.347,0.000,0.000,0,0,1
38.418,1.346,0.000,0.000,0,0,1
38.522,1.349,0.000,0.000,0,0,1
38.627,1.348,0.000,0.000,0,0,1
38.730,1.346,0.000,0.000,0,0,1
38.834,1.346,0.000,0.000,0,0,1
38.939,1.348,0.000,0.000,0,0,1
39.043,1.348,0.000,0.000,0,0,1
39.147,1.348,0.000,0.000,0,0,1
