ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175887.3990743,449,505,42,42,7,2.823499639973548,46607,65.3,184.40647867106534
1782175887.4993365,458,509,33,33,3,3.7777110598127166,59318,51.3,226.5042258826616
1782175887.5997238,493,512,2,2,0,3.5468507512585177,978750,3.1,3286.3568507512587
1782175887.6990917,449,510,42,42,2,5.112317858310917,46607,65.3,186.91221662909905
1782175887.7993994,473,512,18,18,0,5.528316999807345,108750,28.0,390.8283169998074
1782175887.8997178,494,513,3,3,1,5.308712121969734,652500,4.7,2200.73532817403
1782175888.099415,482,513,9,9,1,7.809587145830491,217500,14.0,754.1662031978913
1782175888.1997535,503,515,12,12,3,7.157451085782398,163125,18.7,572.6472992419647
1782175888.3994436,495,513,4,4,1,6.278995595081952,489375,6.2,1658.1056116471427
1782175888.4997644,500,424,9,9,88,20.957845283531,217500,14.0,763.5400578648758
1782175888.5991583,498,512,7,7,0,20.21097262850681,279642,10.9,973.4409726285069
1782175888.6993952,494,513,3,3,1,19.668713719027537,652500,4.7,2215.095329771088
1782175888.7997656,363,161,128,128,351,23.389520589180776,15292,199.1,99.04508819583299
1782175888.899153,491,513,0,0,1,22.487535052598005,19575000,0.2,65292.46415110466
1782175888.9994168,497,513,6,6,1,31.53554044453267,326250,9.3,1139.9221564965935
1782175889.0988123,471,513,20,20,1,31.29124267363487,97875,31.1,380.6078587256956
1782175889.1991694,497,513,6,6,1,42.71144190251522,326250,9.3,1151.098057954576
1782175889.2994778,506,239,15,15,273,42.57947521428712,130500,23.3,488.0656574268685
1782175889.4991398,500,512,9,9,0,45.142396455307434,217500,14.0,791.5423964553074
1782175889.5993114,281,79,210,210,433,37.41824014405902,9321,326.7,102.37299068635838
1782175889.698846,500,514,9,9,2,37.14089829892041,217500,14.0,783.4541304030419
1782175889.7991166,501,475,10,10,37,45.736230626073656,195750,15.6,718.1910245523209
1782175889.8994708,196,283,295,295,229,29.15822795365247,6635,458.9,107.22997054222803
1782175889.998791,497,512,6,6,0,28.967738159184165,326250,9.3,1137.3977381591842
1782175890.0991762,466,230,25,25,282,35.14504216672749,78300,38.9,307.80076884785547
1782175890.1995482,377,456,114,114,56,33.82417359790662,17171,177.3,126.36133917997459
1782175890.2988434,499,513,8,8,1,33.765098156468724,244687,12.4,870.5850475418629
1782175890.3990834,232,73,259,259,439,23.474042167234373,7557,402.9,89.90848902189815
1782175890.4995987,403,495,88,88,17,23.13709173686786,22244,136.9,130.23623128856707
