ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180067.2824786,503,514,9,9,2,99.19446360176036,29375,100.0,60.0,448,99.55357142857143
1782180067.3812714,505,513,7,7,1,99.19653528045373,29375,100.0,60.0,448,99.77678571428571
1782180067.4817386,506,514,6,6,2,99.19446360176036,29375,100.0,60.0,448,99.55357142857143
1782180067.5820148,505,514,7,7,2,99.19653528045373,29375,100.0,60.0,448,99.55357142857143
1782180067.6814055,506,513,6,6,1,99.19446360176036,29375,100.0,60.0,448,99.77678571428571
1782180067.7820573,506,511,6,6,1,99.19446360176036,29375,100.0,60.0,448,99.77678571428571
1782180067.880969,504,513,8,8,1,99.15936531913877,29375,100.0,60.0,448,99.77678571428571
1782180067.9817133,505,514,7,7,2,99.1640042530677,29375,100.0,60.0,448,99.55357142857143
1782180068.0817673,506,513,6,6,1,99.1640042530677,29375,100.0,60.0,448,99.77678571428571
1782180068.1810787,506,513,6,6,1,99.15936531913877,29375,100.0,60.0,448,99.77678571428571
1782180068.2813916,506,514,6,6,2,99.19446360176036,29375,100.0,60.0,448,99.55357142857143
1782180068.3817754,505,513,7,7,1,99.19653528045373,29375,100.0,60.0,448,99.77678571428571
1782180068.481156,505,516,7,7,4,99.2,29375,100.0,60.0,448,99.10714285714286
1782180068.5813951,506,513,6,6,1,99.19653528045373,29375,100.0,60.0,448,99.77678571428571
1782180068.681739,505,513,7,7,1,99.2,29375,100.0,60.0,448,99.77678571428571
1782180068.7810616,506,514,6,6,2,99.19653528045373,29375,100.0,60.0,448,99.55357142857143
1782180068.8813605,506,513,6,6,1,99.19446360176036,29375,100.0,60.0,448,99.77678571428571
1782180068.9819396,505,514,7,7,2,99.19446360176036,29375,100.0,60.0,448,99.55357142857143
1782180069.0810711,505,513,7,7,1,99.24281222055997,29375,100.0,60.0,448,99.77678571428571
1782180069.1814945,506,513,6,6,1,99.24281222055997,29375,100.0,60.0,448,99.77678571428571
1782180069.2817616,506,513,6,6,1,99.23915251929911,29375,100.0,60.0,448,99.77678571428571
1782180069.381068,504,513,8,8,1,99.2,29375,100.0,60.0,448,99.77678571428571
1782180069.4814298,506,513,6,6,1,99.24796572182143,29375,100.0,60.0,448,99.77678571428571
1782180069.5819001,505,513,7,7,1,99.25464400750008,29375,100.0,60.0,448,99.77678571428571
1782180069.6811724,505,510,7,7,2,99.25464400750008,29375,100.0,60.0,448,99.55357142857143
1782180069.781418,505,513,7,7,1,99.25464400750008,29375,100.0,60.0,448,99.77678571428571
1782180069.8818784,505,513,7,7,1,99.25464400750008,29375,100.0,60.0,448,99.77678571428571
1782180069.9811764,505,514,7,7,2,99.25464400750008,29375,100.0,60.0,448,99.55357142857143
1782180070.0815263,507,513,5,5,1,99.20487597054156,29375,100.0,60.0,448,99.77678571428571
1782180070.1819112,504,513,8,8,1,99.1774024880498,29375,100.0,60.0,448,99.77678571428571
1782180070.2814,507,513,5,5,1,99.23915251929911,29375,100.0,60.0,448,99.77678571428571
1782180070.38166,506,514,6,6,2,99.23696512384936,29375,100.0,60.0,448,99.55357142857143
1782180070.4818058,506,514,6,6,2,99.23696512384936,29375,100.0,60.0,448,99.55357142857143
1782180070.5812793,506,514,6,6,2,99.23623738417403,29375,100.0,60.0,448,99.55357142857143
1782180070.6815522,506,513,6,6,1,99.23623738417403,29375,100.0,60.0,448,99.77678571428571
1782180070.7820082,506,514,6,6,2,99.23623738417403,29375,100.0,60.0,448,99.55357142857143
1782180070.881252,505,513,7,7,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180070.981549,506,514,6,6,2,99.2843029815472,29375,100.0,60.0,448,99.55357142857143
1782180071.080862,505,514,7,7,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180071.1812124,505,514,7,7,2,99.28120471157175,29375,100.0,60.0,448,99.55357142857143
1782180071.2815886,505,514,7,7,2,99.2819780257154,29375,100.0,60.0,448,99.55357142857143
1782180071.3808656,506,513,6,6,1,99.28120471157175,29375,100.0,60.0,448,99.77678571428571
1782180071.4813612,506,513,6,6,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
